word,frequency,rank
"sekunder",23036,911
"lyst",23012,912
"betale",23009,913
"hittar",22979,914
"redo",22959,915
"mening",22897,916
"hämta",22866,917
"jobbar",22840,918
"stolt",22769,919
"gången",22745,920
"båda",22706,921
"advokat",22655,922
"denna",22636,923
"kontakt",22613,924
"bak",22587,925
"færdig",22548,926
"stora",22482,927
"mord",22456,928
"lilla",22445,929
"unna",22382,930
"føles",22366,931
"plats",22358,932
"tv",22322,933
"synd",22284,934
"börja",22239,935
"svårt",22214,936
"ganske",22194,937
"sove",22185,938
"lugnt",22158,939
"långt",22122,940
"klokken",22114,941
"by",22077,942
"sender",22067,943
"beskytte",22056,944
"rart",22053,945
"spelar",22050,946
"dræbte",22015,947
"kvinna",22009,948
"doktor",21965,949
"känns",21928,950
"låta",21864,951
"mente",21857,952
"skolen",21809,953
"satte",21808,954
"stemmer",21808,955
"mad",21806,956
"hänt",21801,957
"emot",21736,958
"vekk",21668,959
"flott",21661,960
"tænk",21595,961
"kontor",21567,962
"tillsammans",21526,963
"hår",21497,964
"fat",21493,965
"slet",21491,966
"släpp",21466,967
"hört",21462,968
"ad",21387,969
"nyt",21369,970
"bevis",21347,971
"ro",21321,972
"an",21278,973
"skål",21180,974
"sidder",21167,975
"stopp",21167,976
"guds",21125,977
"tænke",21114,978
"senare",21106,979
"gennem",21052,980
"fler",20995,981
"pris",20993,982
"endelig",20986,983
"smart",20958,984
"stan",20949,985
"lykke",20923,986
"rör",20915,987
"skjønner",20855,988
"ibland",20855,989
"igennem",20834,990
"henter",20832,991
"rädda",20828,992
"mellan",20735,993
"mellem",20730,994
"talt",20708,995
"steder",20707,996
"millioner",20707,997
"chance",20704,998
"straks",20697,999
"nära",20696,1000
"menn",20679,1001
"kæft",20674,1002
"ifrån",20610,1003
"drink",20600,1004
"egentlig",20587,1005
"hader",20563,1006
"skrive",20471,1007
"jobber",20461,1008
"sendte",20458,1009
"stund",20402,1010
"igenom",20356,1011
"løb",20320,1012
"dager",20311,1013
"håper",20310,1014
"eftersom",20296,1015
"jævla",20222,1016
"grunn",20173,1017
"kände",20157,1018
"vilka",20144,1019
"hjerte",20141,1020
"ennå",20137,1021
"spiser",20105,1022
"tenkte",20084,1023
"både",20049,1024
"flot",20020,1025
"dotter",19995,1026
"ganger",19982,1027
"gutter",19942,1028
"dagar",19846,1029
"historien",19841,1030
"viktig",19822,1031
"max",19818,1032
"slap",19804,1033
"rette",19799,1034
"kl",19735,1035
"våben",19700,1036
"kille",19673,1037
"seng",19664,1038
"følge",19656,1039
"tänka",19610,1040
"kalder",19608,1041
"følger",19608,1042
"herrer",19594,1043
"større",19574,1044
"dags",19572,1045
"jobben",19537,1046
"baby",19498,1047
"pistol",19495,1048
"fattar",19490,1049
"gärna",19472,1050
"fanns",19467,1051
"moren",19443,1052
"började",19386,1053
"kompis",19367,1054
"nesten",19301,1055
"killen",19299,1056
"drepte",19293,1057
"fortæller",19248,1058
"kjære",19239,1059
"paul",19212,1060
"skynd",19202,1061
"general",19202,1062
"beder",19168,1063
"skade",19148,1064
"drikke",19146,1065
"meter",19127,1066
"trevligt",19113,1067
"klara",19094,1068
"lavet",19070,1069
"vilja",19062,1070
"slipper",19046,1071
"tredje",19044,1072
"kamp",19022,1073
"husk",19021,1074
"gott",19013,1075
"mål",19007,1076
"alex",19004,1077
"spela",18982,1078
"harry",18981,1079
"bäst",18978,1080
"chans",18950,1081
"bord",18938,1082
"henry",18923,1083
"gånger",18912,1084
"varandra",18912,1085
"mary",18895,1086
"timmar",18889,1087
"sov",18837,1088
"pengarna",18834,1089
"ej",18828,1090
"skyldig",18780,1091
"dumt",18776,1092
"handlar",18746,1093
"tæt",18733,1094
"uge",18719,1095
"oh",18718,1096
"gamla",18709,1097
"sende",18680,1098
"hovedet",18677,1099
"spørge",18668,1100
"nat",18633,1101
"verandre",18574,1102
"plads",18544,1103
"talte",18541,1104
"nick",18523,1105
"hjælper",18521,1106
"reda",18518,1107
"ihåg",18517,1108
"bekymret",18473,1109
"ringa",18456,1110
"hel",18449,1111
"sgu",18434,1112
"ert",18432,1113
"betaler",18420,1114
"jim",18417,1115
"svin",18397,1116
"gutt",18383,1117
"forhold",18352,1118
"navnet",18351,1119
"venstre",18350,1120
"bakom",18261,1121
"stole",18167,1122
"gammal",18163,1123
"bruger",18107,1124
"elskede",18103,1125
"halv",18068,1126
"hyggelig",18051,1127
"fara",18037,1128
"dörren",18034,1129
"dræbt",18014,1130
"sarah",18011,1131
"nettopp",17992,1132
"ferdig",17978,1133
"drept",17948,1134
"planen",17904,1135
"tenk",17857,1136
"bill",17856,1137
"forklare",17830,1138
"tjeneste",17803,1139
"tony",17803,1140
"danny",17801,1141
"ei",17787,1142
"toppen",17770,1143
"normalt",17760,1144
"känna",17754,1145
"dessa",17739,1146
"møte",17737,1147
"dör",17715,1148
"sån",17695,1149
"jimmy",17690,1150
"største",17626,1151
"fare",17604,1152
"tyst",17564,1153
"ba",17560,1154
"hjälper",17550,1155
"måte",17537,1156
"alls",17536,1157
"kæreste",17497,1158
"sagen",17463,1159
