word,frequency,rank
"dessverre",5024,768
"spesielt",5020,769
"person",5012,770
"doktor",4996,771
"bevis",4991,772
"sendt",4969,773
"falt",4967,774
"flytte",4967,775
"mister",4942,776
"drittsekk",4941,777
"plan",4938,778
"by",4922,779
"nødt",4922,780
"forhold",4922,781
"vennene",4913,782
"farvel",4899,783
"klokken",4898,784
"kult",4898,785
"steder",4889,786
"opptatt",4871,787
"noensinne",4870,788
"stoler",4866,789
"sover",4865,790
"stolt",4863,791
"skyter",4859,792
"raskt",4854,793
"mike",4850,794
"peter",4842,795
"verdens",4807,796
"sjekk",4801,797
"vanlig",4793,798
"svart",4790,799
"skynd",4788,800
"vinne",4787,801
"rolle",4775,802
"vannet",4775,803
"vare",4770,804
"james",4757,805
"dame",4754,806
"overalt",4752,807
"søster",4740,808
"tuller",4739,809
"smart",4732,810
"kjørte",4731,811
"joe",4726,812
"skylder",4698,813
"skriver",4696,814
"passe",4679,815
"alvorlig",4643,816
"skatt",4641,817
"president",4641,818
"lykkelig",4636,819
"menneske",4632,820
"planen",4620,821
"kjæresten",4619,822
"sekunder",4619,823
"stikk",4600,824
"hånden",4592,825
"drink",4588,826
"bilde",4584,827
"george",4559,828
"ordne",4535,829
"leder",4532,830
"kjøpte",4528,831
"døden",4527,832
"fest",4524,833
"tv",4521,834
"forstått",4511,835
"forlate",4509,836
"selge",4506,837
"skål",4504,838
"brukt",4499,839
"arbeid",4493,840
"iblant",4490,841
"ordre",4489,842
"minste",4487,843
"sterk",4478,844
"kamp",4465,845
"prøvd",4461,846
"satte",4458,847
"fortsetter",4453,848
"miste",4448,849
"lurte",4439,850
"dyr",4436,851
"bord",4430,852
"onkel",4417,853
"deler",4415,854
"følg",4407,855
"søsteren",4406,856
"savner",4404,857
"fortjener",4392,858
"lik",4379,859
"sju",4378,860
"tingene",4366,861
"plutselig",4364,862
"hvilket",4346,863
"sykehuset",4344,864
"send",4335,865
"skipet",4335,866
"slikt",4329,867
"søt",4319,868
"lyver",4319,869
"kvinnen",4312,870
"møtt",4312,871
"glemt",4311,872
"kroppen",4307,873
"guds",4289,874
"interessert",4288,875
"mrs",4286,876
"harry",4270,877
"midt",4265,878
"ni",4262,879
"ligge",4257,880
"sjansen",4257,881
"mennene",4256,882
"interessant",4252,883
"lærer",4244,884
"skaffe",4241,885
"okay",4240,886
"kontroll",4230,887
"stjal",4230,888
"savnet",4229,889
"forelsket",4227,890
"bill",4219,891
"merkelig",4210,892
"enig",4201,893
"lege",4195,894
"fungerer",4185,895
"general",4178,896
"baby",4174,897
"usa",4170,898
"kl",4170,899
"forbi",4167,900
"sulten",4164,901
"glemme",4154,902
"lys",4148,903
"lukk",4138,904
"kalle",4127,905
"flyet",4121,906
"flyttet",4113,907
"pent",4100,908
"verste",4100,909
"lærte",4090,910
"hender",4088,911
"sluttet",4078,912
"innen",4063,913
"kutt",4063,914
"ryggen",4045,915
"fleste",4037,916
"agent",4036,917
"hjalp",4033,918
"eier",4028,919
"personlig",4022,920
"mary",4020,921
"jim",4017,922
"nyheter",4013,923
"elske",4011,924
"kaste",4009,925
"snu",4004,926
"dumt",4001,927
"hjerte",3995,928
"sprø",3982,929
"blant",3977,930
"følte",3975,931
"nydelig",3975,932
"arbeidet",3972,933
"fanget",3969,934
"danny",3967,935
"bob",3959,936
"meter",3957,937
"unnskyldning",3950,938
"angrep",3936,939
"morges",3935,940
"mening",3932,941
"løs",3914,942
"jentene",3910,943
"lagt",3909,944
"jævel",3908,945
"drikker",3897,946
"dumme",3896,947
"bilder",3892,948
"forrige",3889,949
"trekk",3884,950
"etterpå",3882,951
"informasjon",3869,952
"advokat",3867,953
"tilgi",3863,954
"pleide",3855,955
"bildet",3850,956
"folkens",3841,957
"slutter",3830,958
"sov",3823,959
"både",3818,960
"jorden",3815,961
"slike",3811,962
"kjempe",3806,963
"levende",3801,964
"lukter",3800,965
"maten",3798,966
"fbi",3791,967
"ma",3776,968
"trygg",3768,969
"film",3757,970
"betalt",3756,971
"alex",3751,972
"kongen",3750,973
"ordner",3749,974
"ferdige",3746,975
"høy",3738,976
"møtes",3738,977
"selger",3730,978
"virket",3727,979
"het",3719,980
"området",3709,981
"presidenten",3709,982
"fine",3698,983
"kaster",3691,984
"fru",3682,985
"viste",3674,986
"støtte",3658,987
"syntes",3647,988
"drep",3641,989
"ræva",3641,990
"forsvant",3637,991
"skrevet",3637,992
"talt",3627,993
"tredje",3625,994
"telefon",3622,995
"lag",3619,996
"lyset",3616,997
"reiser",3615,998
"hund",3610,999
"slått",3605,1000
"sjekket",3598,1001
"velge",3594,1002
"pen",3593,1003
"stakkars",3591,1004
"filmen",3582,1005
"heldig",3581,1006
"kjøper",3579,1007
"moro",3578,1008
"nick",3573,1009
"håret",3568,1010
"kampen",3563,1011
"løy",3557,1012
"kjæreste",3555,1013
"festen",3551,1014
"enten",3544,1015
"valgte",3532,1016
"ray",3528,1017
"bortsett",3525,1018
"møtte",3525,1019
"paul",3520,1020
"munnen",3520,1021
"nærmere",3518,1022
"måned",3501,1023
"ordentlig",3500,1024
"liksom",3497,1025
"forandret",3484,1026
"respekt",3483,1027
"spor",3478,1028
"kalte",3478,1029
"forlot",3476,1030
"oberst",3471,1031
"takke",3464,1032
"spørsmålet",3458,1033
"møter",3457,1034
"stakk",3456,1035
"frue",3455,1036
"himmelen",3453,1037
"hvilke",3452,1038
"ene",3449,1039
"besøk",3431,1040
"dritten",3430,1041
"pistolen",3421,1042
"ringt",3419,1043
"billy",3415,1044
"mål",3414,1045
"retten",3408,1046
"halv",3408,1047
"nærheten",3406,1048
"glede",3404,1049
"merke",3404,1050
"legen",3391,1051
"stans",3386,1052
"johnny",3383,1053
"london",3383,1054
"frøken",3383,1055
"saker",3382,1056
"bedt",3382,1057
"lært",3381,1058
"greier",3377,1059
"tjener",3364,1060
"vakkert",3359,1061
"pleier",3358,1062
