word,frequency,rank
"damer",8845,921
"bok",8842,922
"dödat",8835,923
"djur",8826,924
"farbror",8802,925
"både",8799,926
"visade",8771,927
"oh",8757,928
"skönt",8695,929
"ordna",8689,930
"duktig",8654,931
"president",8640,932
"morse",8635,933
"delar",8635,934
"grattis",8630,935
"jobbade",8619,936
"tydligen",8599,937
"kontakt",8578,938
"farligt",8570,939
"alldeles",8568,940
"omöjligt",8563,941
"träffar",8561,942
"höger",8541,943
"världens",8502,944
"spel",8479,945
"mål",8479,946
"låtsas",8472,947
"glömma",8472,948
"välja",8433,949
"känslor",8408,950
"kallade",8402,951
"förlorat",8395,952
"fader",8390,953
"pa",8382,954
"leder",8362,955
"kung",8360,956
"lovade",8355,957
"sov",8343,958
"sticka",8329,959
"svarta",8323,960
"paul",8316,961
"fantastisk",8315,962
"högt",8314,963
"henry",8288,964
"hjärtat",8278,965
"stopp",8229,966
"glömt",8228,967
"flickvän",8225,968
"fullt",8217,969
"stal",8209,970
"alex",8160,971
"jesus",8156,972
"grej",8146,973
"meter",8144,974
"dröm",8143,975
"ligga",8143,976
"sönder",8128,977
"hungrig",8124,978
"använde",8091,979
"ljög",8087,980
"steg",8086,981
"förstöra",8074,982
"tillhör",8072,983
"slags",8068,984
"fly",8059,985
"vare",8052,986
"hellre",8035,987
"uppdrag",8011,988
"speciellt",7997,989
"vackert",7996,990
"värsta",7993,991
"fina",7988,992
"spelade",7985,993
"dansa",7983,994
"vila",7976,995
"klarade",7973,996
"söt",7948,997
"filmen",7936,998
"värt",7934,999
"skämt",7927,1000
"jävlar",7923,1001
"namnet",7922,1002
"skogen",7888,1003
"kär",7880,1004
"frun",7872,1005
"lösa",7857,1006
"gatan",7857,1007
"bild",7848,1008
"musik",7847,1009
"sist",7844,1010
"slutade",7836,1011
"upptagen",7795,1012
"talat",7792,1013
"snacka",7790,1014
"säkerhet",7787,1015
"dricker",7781,1016
"därifrån",7758,1017
"hette",7754,1018
"jim",7743,1019
"harry",7741,1020
"förlorar",7741,1021
"stad",7722,1022
"drog",7710,1023
"general",7706,1024
"lunch",7698,1025
"ungefär",7695,1026
"lärt",7686,1027
"stäng",7654,1028
"hög",7654,1029
"handen",7640,1030
"kasta",7638,1031
"adjö",7617,1032
"varenda",7614,1033
"brott",7603,1034
"bar",7595,1035
"byta",7581,1036
"området",7565,1037
"valde",7556,1038
"glas",7545,1039
"unga",7535,1040
