word,frequency,rank
"værste",6401,968
"slipper",6400,969
"luften",6396,970
"forlod",6382,971
"minder",6375,972
"musik",6362,973
"skrevet",6350,974
"skønt",6345,975
"måned",6344,976
"dumt",6339,977
"general",6338,978
"alex",6333,979
"mulighed",6314,980
"fader",6280,981
"verdens",6272,982
"satte",6262,983
"send",6256,984
"lå",6244,985
"brød",6233,986
"høj",6229,987
"meter",6223,988
"forsøgte",6215,989
"lovede",6197,990
"drikker",6186,991
"ens",6183,992
"enkelt",6180,993
"forsvandt",6170,994
"løs",6169,995
"stand",6160,996
"ni",6159,997
"kaldte",6148,998
"trækker",6146,999
"danny",6144,1000
"spørg",6142,1001
"morges",6131,1002
"bryder",6111,1003
"trække",6105,1004
"hurtigere",6098,1005
"lagde",6094,1006
"seriøst",6083,1007
"slås",6075,1008
"sødt",6072,1009
"dengang",6053,1010
"an",6045,1011
"stemmer",6043,1012
"tredje",6040,1013
"harry",6031,1014
"nemt",6028,1015
"løj",6027,1016
"lyset",6016,1017
"tegn",6014,1018
"ren",6012,1019
"levende",6008,1020
"læst",6005,1021
"medmindre",5995,1022
"sov",5994,1023
"fortsætte",5989,1024
"nær",5976,1025
"forskellige",5973,1026
"ejer",5965,1027
"tide",5962,1028
"jul",5958,1029
"møder",5953,1030
"skaffe",5949,1031
"hånden",5947,1032
"viste",5943,1033
"sa",5935,1034
"mon",5932,1035
"snak",5929,1036
"lærte",5927,1037
"respekt",5920,1038
"danse",5915,1039
"lege",5906,1040
"adgang",5879,1041
"frokost",5878,1042
"forelsket",5877,1043
"taber",5872,1044
"skid",5866,1045
"stol",5864,1046
"interesseret",5857,1047
"hård",5846,1048
"skam",5844,1049
"gaden",5843,1050
"jim",5834,1051
"bed",5834,1052
"gravid",5834,1053
"nervøs",5818,1054
"satan",5796,1055
"lukke",5781,1056
"vælge",5779,1057
"krigen",5773,1058
"drengen",5771,1059
"hvilke",5771,1060
"tjener",5770,1061
"magt",5731,1062
"stoffer",5725,1063
"fart",5713,1064
"hel",5712,1065
"fremtiden",5703,1066
"venlig",5698,1067
"enten",5693,1068
"ray",5690,1069
"hul",5687,1070
"flyve",5685,1071
"tusind",5674,1072
"derhen",5664,1073
"smid",5661,1074
"ordner",5655,1075
"forlader",5648,1076
"sko",5647,1077
"date",5647,1078
"evigt",5628,1079
"enig",5620,1080
"bagefter",5619,1081
"morder",5609,1082
"frøken",5602,1083
"opgave",5593,1084
"alvorligt",5591,1085
"bill",5585,1086
"plejede",5584,1087
"nødvendigt",5583,1088
"skrid",5568,1089
"farligt",5567,1090
"nar",5555,1091
"personligt",5548,1092
"nyheder",5547,1093
"hov",5542,1094
"søger",5532,1095
"vandt",5526,1096
"richard",5523,1097
"sjæl",5522,1098
"særlig",5521,1099
"ekstra",5521,1100
"sværger",5513,1101
"såret",5507,1102
"klarede",5495,1103
"bar",5492,1104
"valgte",5481,1105
"forsvind",5464,1106
"klaret",5462,1107
"løbet",5456,1108
"mors",5455,1109
"ligge",5441,1110
"begyndt",5420,1111
"bekymre",5420,1112
"lav",5413,1113
"røre",5407,1114
"flyt",5405,1115
"lytter",5401,1116
"besøg",5398,1117
"spillet",5382,1118
"planen",5382,1119
"endda",5380,1120
"red",5376,1121
"tommy",5368,1122
"jesus",5361,1123
"nød",5351,1124
"især",5350,1125
"festen",5344,1126
"lukker",5327,1127
"ifølge",5293,1128
"mindst",5285,1129
"kampen",5263,1130
"ramt",5263,1131
"konge",5255,1132
"himlen",5251,1133
"jobbet",5249,1134
"søvn",5248,1135
"området",5243,1136
"is",5235,1137
"klog",5229,1138
"flytter",5213,1139
"læser",5206,1140
"tjek",5191,1141
"købt",5190,1142
"ild",5183,1143
"fjols",5179,1144
"ordre",5175,1145
"vore",5165,1146
"form",5165,1147
"flyet",5160,1148
"kontrol",5160,1149
"fortsætter",5160,1150
"retten",5149,1151
"glemmer",5146,1152
"rum",5137,1153
"claire",5136,1154
"tænder",5118,1155
"fatter",5113,1156
"lykkelig",5112,1157
"nærheden",5099,1158
"kammerat",5096,1159
"pokkers",5092,1160
"ventet",5087,1161
"glas",5086,1162
"skabe",5081,1163
"falde",5075,1164
"følte",5074,1165
"planer",5063,1166
"særligt",5061,1167
"tii",5059,1168
"ryggen",5053,1169
"blandt",5046,1170
"myrdet",5035,1171
"wow",5025,1172
"fandeme",5024,1173
"mark",5022,1174
"navnet",5021,1175
"paris",5018,1176
"bevise",5013,1177
"tilfælde",5012,1178
"lagt",5011,1179
"pistolen",5007,1180
"bob",5006,1181
"hed",5005,1182
"tjene",5005,1183
"lyve",5001,1184
"hverken",4995,1185
"vilje",4992,1186
"tit",4989,1187
"rachel",4982,1188
"glæder",4980,1189
"ovenpå",4972,1190
"takke",4963,1191
"præsidenten",4953,1192
"forbandede",4943,1193
"derfra",4940,1194
"bringe",4938,1195
"fungerer",4937,1196
"medicin",4928,1197
"oplysninger",4925,1198
"røde",4921,1199
"lækker",4918,1200
"stakkels",4915,1201
"hjerne",4910,1202
"drømme",4907,1203
"onde",4907,1204
"dårlige",4902,1205
"dybt",4884,1206
"mødtes",4882,1207
"undgå",4876,1208
"yeah",4875,1209
"dejlig",4871,1210
"vågn",4869,1211
"kæmper",4865,1212
"parat",4865,1213
"håb",4858,1214
"dernede",4858,1215
"chancen",4855,1216
"betalt",4849,1217
"fremtid",4847,1218
"højere",4844,1219
"overstået",4841,1220
"gratis",4815,1221
"beslutning",4815,1222
"dygtig",4814,1223
"frygt",4812,1224
"venligst",4811,1225
"selvmord",4810,1226
"skud",4805,1227
"kys",4803,1228
"stjæle",4801,1229
"ofte",4800,1230
"gulvet",4788,1231
"plejer",4785,1232
"anholdt",4782,1233
"skib",4780,1234
"overleve",4776,1235
"glæde",4774,1236
"stak",4774,1237
"smart",4773,1238
"sengen",4765,1239
"forskel",4763,1240
"ventede",4761,1241
"fornøjelse",4758,1242
"lægen",4750,1243
"tjekke",4749,1244
"london",4747,1245
"martin",4745,1246
"partner",4745,1247
"hvid",4745,1248
"vagt",4741,1249
"føre",4737,1250
"bobby",4737,1251
"skoven",4728,1252
"tanker",4728,1253
"ansvar",4723,1254
"km",4713,1255
"fyldt",4703,1256
"vælger",4701,1257
"billy",4697,1258
"efterlod",4696,1259
"smerte",4690,1260
"satans",4689,1261
"røg",4687,1262
"dræb",4686,1263
"giftes",4683,1264
